code,species,genus,casent,collection_code,nb_ind,sp_code
n001,termitobium_02,Monomorium,0244570-0244572-Res,MG-57-15,12,Moter02
n002,drm01,Monomorium,0245576-0245579-Res,MG-61-06,7,Modrm01
n003,termitobium_03,Monomorium,0244604-0244606-Res,MG-57-17,4,Moter03
n004,pharaonis,Monomorium,0169313-0169316-Res,MG-55-13,4,Mopha
n005,MG_m01,Monomorium,0265578-0265579-Res,MG-58-08,3,MoMG01
n006,MG_m02,Monomorium,0231784-0231786-Res,MG-58-14,7,MoMG02
n007,MG_m03,Monomorium,0169626-0169627-Res,MG-56-05,2,MoMG03
n008,termitobium_03,Monomorium,0245756-0245759-Res,MG-59-18,3,Moter03b
n009,madecassum,Monomorium,0266569-0266573-Res,MG-55-04,8,Momad
n010,hanneli,Monomorium,433391,BLF4232(41),1,Mohan
n010,hanneli,Monomorium,192679,BLF18284-02,1,Mohan
n010,hanneli,Monomorium,192676,BLF18284-02,1,Mohan
n010,hanneli,Monomorium,477002,BLF3251,1,Mohan
s001,hildebrandti_s01,Syllophopsis,0229061-Res,MG-27-17,6,Syhil01
s002,hildebrandti_s02,Syllophopsis,0169895-Res,MG-50B-25,6,Syhil02
s003,fisheri,Syllophopsis,0266008-0266010-Res,MG-09B-267,6,Syfis
s004,MG_s01,Syllophopsis,0245971-0245972-Res,MG-07-20,2,SyMG01
s005,modesta,Syllophopsis,0205372-Res,MG-08B-19,6,Symod