Genera,sp_id,Ind,AeL,AeH,VcL,VcaH,SeL,VuL,PaL,PaH,TeH,VoL
Monomorium,M.hanneli,1,0.18825,0.1135,0.126,0.0965,0.10225,0.093,0.33475,0.26725,0.17625,0.23775
Monomorium,M.hanneli,2,0.1845,0.115,0.13025,0.0945,0.10375,0.0945,0.33725,0.2315,0.15975,0.243
Monomorium,M.hanneli,3,0.18775,0.115,0.13175,0.08525,0.11,0.09075,0.3395,0.2315,0.161,0.25475
Monomorium,M.hanneli,4,0.188,0.115,0.134,0.08825,0.10925,0.0915,0.35475,0.2615,0.16675,0.25775
Monomorium,M.termitobium02,1,0.22675,0.19925,0.205,0.09825,0.21025,0.12375,0.423,0.36625,0.14625,0.29375
Monomorium,M.termitobium02,10,0.242,0.2155,0.20825,0.1315,0.20975,0.1595,0.5215,0.40625,0.1645,0.2775
Monomorium,M.termitobium02,11,0.23925,0.19975,0.2265,0.09325,0.199,0.13175,0.417,0.38675,0.174,0.247
Monomorium,M.termitobium02,12,0.2035,0.196,0.20275,0.13125,0.19925,0.139,0.41075,0.352,0.1585,0.24375
Monomorium,M.termitobium02,2,0.14775,0.1395,0.13525,0.084,0.1505,0.11025,0.35825,0.31275,0.10525,0.20075
Monomorium,M.termitobium02,3,0.21175,0.238,0.20175,0.10675,0.198,0.1645,0.574,0.43425,0.1625,0.30775
Monomorium,M.termitobium02,4,0.2045,0.23675,0.1845,0.12175,0.19575,0.13875,0.525,0.4045,0.16275,0.2825
Monomorium,M.termitobium02,5,0.23175,0.18675,0.22925,0.1095,0.19325,0.131,0.41575,0.384,0.15175,0.2145
Monomorium,M.termitobium02,6,0.19625,0.19975,0.20425,0.096,0.1755,0.12425,0.41075,0.354,0.15925,0.24675
Monomorium,M.termitobium02,7,0.225,0.20875,0.20875,0.1035,0.201,0.1415,0.47875,0.4095,0.181,0.2585
Monomorium,M.termitobium02,8,0.20775,0.2145,0.2025,0.09975,0.20575,0.14475,0.48075,0.40825,0.18025,0.25975
Monomorium,M.termitobium02,9,0.15025,0.15175,0.13575,0.09875,0.1495,0.1085,0.33875,0.3785,0.15525,0.20925
Monomorium,M.drm01,1,0.23425,0.21625,0.23125,0.144,0.216,0.15125,0.5615,0.468,0.09875,0.32025
Monomorium,M.drm01,2,0.22075,0.224,0.22225,0.1455,0.23,0.14525,0.51925,0.456,0.0995,0.269
Monomorium,M.drm01,3,0.23325,0.20475,0.2285,0.11825,0.226,0.14825,0.53025,0.4535,0.105,0.2865
Monomorium,M.drm01,4,0.2455,0.21425,0.2305,0.1275,0.235,0.156,0.594,0.455,0.11525,0.2355
Monomorium,M.drm01,5,0.2275,0.197,0.229,0.1225,0.22525,0.153,0.51925,0.44225,0.146,0.27175
Monomorium,M.drm01,6,0.2425,0.2205,0.24575,0.15775,0.25525,0.14775,0.61125,0.45275,0.11225,0.319
Monomorium,M.drm01,7,0.2435,0.2165,0.236,0.11875,0.2415,0.1485,0.59175,0.454,0.11725,0.24
Monomorium,M.termitobium03,1,0.16675,0.14725,0.14375,0.07175,0.1375,0.10625,0.36025,0.3645,0.1,0.205
Monomorium,M.termitobium03,2,0.1855,0.14475,0.155,0.07125,0.15725,0.10575,0.35675,0.28375,0.1055,0.2095
Monomorium,M.termitobium03,3,0.1875,0.1465,0.15025,0.0785,0.15,0.1165,0.3545,0.279,0.10725,0.20875
Monomorium,M.termitobium03,4,0.172,0.168,0.1565,0.08375,0.159,0.11675,0.3595,0.36425,0.1005,0.205
Monomorium,M.pharaonis,1,0.59325,0.36475,0.401,0.1825,0.33125,0.2525,0.816,0.85075,0.188,0.3915
Monomorium,M.pharaonis,2,0.49825,0.363,0.3365,0.1785,0.314,0.241,0.7655,0.73125,0.163,0.36025
Monomorium,M.pharaonis,3,0.52875,0.41875,0.35425,0.18675,0.3285,0.2625,0.75625,0.7275,0.15925,0.3605
Monomorium,M.pharaonis,4,0.48775,0.39375,0.374,0.1645,0.365,0.2655,0.80675,0.84775,0.18675,0.392
Monomorium,M.MG01,1,0.1825,0.162,0.16625,0.0945,0.154,0.109,0.347,0.359,0.0865,0.222
Monomorium,M.MG01,2,0.19725,0.1535,0.172,0.089,0.1685,0.11375,0.376,0.33475,0.11075,0.194
Monomorium,M.MG01,3,0.18225,0.156,0.1585,0.0815,0.13925,0.1155,0.372,0.33275,0.111,0.19625
Monomorium,M.MG02,1,0.18225,0.13825,0.161,0.0845,0.16,0.1055,0.33775,0.3395,0.09875,0.18
Monomorium,M.MG02,2,0.1975,0.14125,0.17075,0.1015,0.16025,0.11275,0.34175,0.31125,0.09875,0.1845
Monomorium,M.MG02,3,0.17375,0.156,0.16775,0.087,0.157,0.1175,0.347,0.34275,0.11675,0.2005
Monomorium,M.MG02,4,0.1985,0.154,0.17,0.08575,0.15975,0.116,0.36975,0.374,0.08975,0.16725
Monomorium,M.MG02,5,0.1825,0.15775,0.16575,0.0965,0.154,0.11275,0.379,0.3665,0.0915,0.18425
Monomorium,M.MG02,6,0.20775,0.14725,0.163,0.0875,0.15475,0.1225,0.38675,0.339,0.1125,0.2065
Monomorium,M.MG02,7,0.17625,0.14925,0.17,0.07675,0.15475,0.11525,0.33525,0.3325,0.11775,0.18975
Monomorium,M.MG03,1,0.203,0.18325,0.1945,0.1025,0.17,0.13325,0.4,0.346,0.12425,0.1625
Monomorium,M.MG03,2,0.25525,0.20375,0.16025,0.11175,0.17,0.14675,0.45125,0.35825,0.127,0.16175
Monomorium,M.termitobium03b,1,0.17,0.14175,0.1515,0.09275,0.1485,0.10675,0.3485,0.3235,0.1245,0.199
Monomorium,M.termitobium03b,2,0.155,0.1495,0.15125,0.103,0.153,0.114,0.33475,0.311,0.1085,0.2105
Monomorium,M.termitobium03b,3,0.16725,0.14075,0.14875,0.0955,0.15375,0.11625,0.36,0.3545,0.09825,0.19975
Monomorium,M.madecassum,1,0.46675,0.42425,0.40625,0.211,0.34525,0.27775,1.062,0.9585,0.23225,0.45575
Monomorium,M.madecassum,2,0.496,0.48175,0.4215,0.17425,0.363,0.2785,1.0105,0.949,0.19225,0.492
Monomorium,M.madecassum,3,0.5535,0.4165,0.421,0.2115,0.3685,0.3055,1.0395,0.91275,0.188,0.466
Monomorium,M.madecassum,4,0.52175,0.4045,0.398,0.24025,0.34875,0.2805,1.00975,0.93875,0.19175,0.4845
Monomorium,M.madecassum,5,0.48025,0.3595,0.3895,0.2315,0.346,0.2165,1.02325,0.9485,0.1935,0.487
Monomorium,M.madecassum,6,0.52525,0.374,0.34275,0.1965,0.329,0.26475,1.044,0.917,0.18875,0.4905
Monomorium,M.madecassum,7,0.44725,0.435,0.365,0.178,0.34975,0.25425,1.0615,0.95675,0.229,0.4535
Monomorium,M.madecassum,8,0.5075,0.40675,0.35925,0.1885,0.34975,0.259,1.009,0.93975,0.19175,0.4905
Syllophopsis,S.hildebrandti01,1,0.3415,0.21675,0.25675,0.101,0.29575,0.124,0.3515,0.279,0.101,0.2325
Syllophopsis,S.hildebrandti01,2,0.3225,0.2525,0.278,0.09,0.333,0.07925,0.361,0.278,0.106,0.24
Syllophopsis,S.hildebrandti01,3,0.30275,0.2345,0.257,0.0965,0.3085,0.1085,0.371,0.291,0.14175,0.2375
Syllophopsis,S.hildebrandti01,4,0.289,0.21625,0.25475,0.07375,0.3105,0.079,0.38175,0.25175,0.10975,0.214
Syllophopsis,S.hildebrandti01,5,0.2845,0.258,0.2615,0.08975,0.31525,0.07825,0.377,0.27325,0.10975,0.228
Syllophopsis,S.hildebrandti01,6,0.28825,0.2305,0.26925,0.09575,0.31475,0.086,0.37825,0.27325,0.1115,0.229
Syllophopsis,S.hildebrandti02,1,0.29825,0.2475,0.24125,0.0845,0.296,0.09275,0.312,0.30875,0.09975,0.21275
Syllophopsis,S.hildebrandti02,2,0.288,0.19875,0.23925,0.08425,0.28325,0.07525,0.318,0.31225,0.1125,0.21375
Syllophopsis,S.hildebrandti02,3,0.25425,0.22575,0.2425,0.082,0.28425,0.0875,0.33125,0.33325,0.1165,0.21375
Syllophopsis,S.hildebrandti02,4,0.29825,0.2195,0.26475,0.087,0.31025,0.0905,0.34825,0.33125,0.1095,0.21675
Syllophopsis,S.hildebrandti02,5,0.26625,0.21725,0.24025,0.0875,0.291,0.09275,0.3215,0.3125,0.11425,0.1955
Syllophopsis,S.hildebrandti02,6,0.282,0.222,0.26325,0.097,0.2915,0.09,0.343,0.3115,0.10875,0.21925
Syllophopsis,S.fisheri,1,0.56625,0.37575,0.42575,0.14675,0.55525,0.145,0.6215,0.53725,0.1925,0.376
Syllophopsis,S.fisheri,2,0.4315,0.32425,0.36875,0.1345,0.471,0.1205,0.53,0.4685,0.1515,0.338
Syllophopsis,S.fisheri,3,0.47475,0.332,0.37425,0.1205,0.46775,0.13525,0.53,0.4575,0.16675,0.34425
Syllophopsis,S.fisheri,4,0.475,0.30875,0.38325,0.13725,0.477,0.146,0.536,0.502,0.1815,0.32825
Syllophopsis,S.fisheri,5,0.50875,0.339,0.397,0.14975,0.506,0.17275,0.60925,0.53475,0.1875,0.36975
Syllophopsis,S.fisheri,6,0.48475,0.28875,0.398,0.11275,0.49125,0.13025,0.55725,0.555,0.1375,0.3465
Syllophopsis,S.MG01,1,0.3595,0.22225,0.27225,0.15825,0.36775,0.0935,0.36025,0.3225,0.1025,0.19175
Syllophopsis,S.MG01,2,0.3765,0.2225,0.29975,0.149,0.396,0.07975,0.36775,0.3145,0.09225,0.19
Syllophopsis,S.modesta,1,0.362,0.2335,0.28625,0.144,0.3655,0.095,0.37775,0.35025,0.09925,0.215
Syllophopsis,S.modesta,2,0.37675,0.2515,0.317,0.1315,0.378,0.09025,0.37525,0.37825,0.10275,0.23
Syllophopsis,S.modesta,3,0.3705,0.213,0.2825,0.11925,0.368,0.0905,0.38625,0.346,0.0875,0.21075
Syllophopsis,S.modesta,4,0.351,0.235,0.28175,0.1315,0.37075,0.08975,0.38175,0.32175,0.11325,0.22225
Syllophopsis,S.modesta,5,0.38875,0.22825,0.303,0.134,0.39475,0.091,0.41025,0.35625,0.092,0.22825
Syllophopsis,S.modesta,6,0.37325,0.2005,0.28325,0.112,0.37325,0.07525,0.367,0.32775,0.092,0.1925